	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000186818.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242941679835637	0.171299552878806	0	0	0	0	0	0	0
ENSG00000186827.12	0	0.102642661327926	0	0.184656076539803	0.134558168426396	0	0	0	0.536737997978676	0.148661619936841	0.219641240797707	0.0525462190799596	0	0.0922455612540514	0	0.187743161267864	0	0.485898196695941	0	0	0	0.126046959763217	0.0928583981600401	0
ENSG00000186832.9	2.90306012661687	3.80163589555069	2.61543322374619	4.08410581748574	2.35689893494922	3.62817784544459	2.34706605107006	3.31645823321639	3.49500580519008	3.16511512465468	2.69254477513987	2.02863798132041	3.62429167325555	3.89687408491948	4.11351893563979	3.45279843197427	3.63948882274863	4.17561736075619	1.68029893469692	0.743402724571563	1.25142180794109	0.49653593125599	1.00276415210877	0.571980450385307
ENSG00000186834.4	27.1067382108546	26.8605700557128	27.7625566885541	23.9963801321203	23.2642063066812	26.5692119468132	25.4247941092495	31.6444604295889	26.6250860799943	25.2640754542234	24.0106273091841	24.8255760123317	29.7837370815991	27.2946165857294	24.7565629676106	19.8126203155706	22.7518844944057	22.6205189126875	61.581492521415	58.0154738682632	60.7994568746095	46.2198663403031	50.9860082004884	49.2113744324524
ENSG00000186838.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186844.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186847.6	0.14280274989168	0.137771288713919	0.0501437165314533	0.148666687638091	0.278063826788095	0.248821903727086	0	0.206300511570683	0.15622209223588	0.233403282530363	0	0.327912513950437	0.416559242280543	0.422320448840556	0.185050364763617	0.141635109686856	0.296252007515935	0.184761609620384	1.25044286179674	0.288847451053508	1.1170370968664	0.396264471382387	0.707488024480691	0.292963292765157
ENSG00000186854.11	22.9270638991465	21.2676681277793	20.1938465565448	20.4253410639524	22.0253950556495	24.4121494765612	19.3397615127209	19.9511706795825	20.8005435282943	26.1180857500436	24.2274252513532	24.6532366830038	25.570826583954	21.5832562053123	18.4766098186354	25.8300498228107	28.7414467336046	29.4416623845199	0.563096419686773	0.755961383055254	1.63565543926315	0.901448834858347	1.41321047703193	1.62455973691342
ENSG00000186860.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186862.20	0.934274614096857	0.569388048757687	0.379424702458244	0.654468819094907	0.459296008894306	0.65055927213164	0.395907589498741	0.678457458609143	0.36034016330725	0.493324768279417	0.242883518768845	0.655644805227803	1.19365578846302	0.872896920453369	0.602207588120039	0.666370715563938	0.559608297021302	1.00323050913673	1.17700326492007	1.30276548897134	0.876323067208027	1.27151126659112	0.455499489249305	0.665832561965755
ENSG00000186866.17	16.5614041783573	19.3318793963258	18.8267255489256	15.8047080041172	16.3605938397336	18.3881244836719	16.2432805633286	23.5392914967434	14.6717999308163	19.2637571088691	15.8700374726408	21.495840039124	20.5999762669679	16.4702989083021	13.7528074840348	13.2839125414776	16.4392568152985	14.943052405572	19.6248717843854	20.3718671110046	25.799956279491	16.0910389908792	16.0263698406167	16.0570053818216
ENSG00000186867.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
