baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_id	gene_name	biotype	description2	medianTPM_WT	medianTPM_HET
ENSG00000005249	938.639731224821	6.88004224678292	0.272332352007445	714.525499102478	2.07531860578902e-157	2.05079211317515e-154	ENSG00000005249	PRKAR2B	protein_coding	protein kinase cAMP-dependent type II regulatory subunit beta 	0.253995479540527	36.232572153701
ENSG00000167306	1618.93721989485	7.33552700647607	0.267441871313649	680.583193686066	4.99000419152926e-150	4.52011213016025e-147	ENSG00000167306	MYO5B	protein_coding	myosin VB 	0.249600476329169	34.8857726765004
ENSG00000156299	572.778310839327	7.90120236169872	0.453188968525603	643.89928371584	4.74139681847427e-142	3.96453718590887e-139	ENSG00000156299	TIAM1	protein_coding	TIAM Rac1 associated GEF 1 	0.114804325167909	16.6161686194179
ENSG00000072840	583.154683073221	7.18754992287653	0.342398246910892	618.181617976231	1.8588722784528e-136	1.44328154762728e-133	ENSG00000072840	EVC	protein_coding	EvC ciliary complex subunit 1 	0.125157507162475	14.4772372815906
ENSG00000102935	936.9028579255	7.94710614504643	0.359478535077197	606.382015251621	6.849707933043e-134	4.65352032701109e-131	ENSG00000102935	ZNF423	protein_coding	zinc finger protein 423 	0.145179050233735	25.3554973918758
ENSG00000116667	557.693074656734	10.8792452983332	1.04406699985929	606.470060924036	6.55423116972457e-134	4.65352032701109e-131	ENSG00000116667	C1orf21	protein_coding	chromosome 1 open reading frame 21 	0	29.2281001395181
ENSG00000134369	975.654170907103	6.8575588187251	0.283592893393943	584.473704425899	3.9899306550948e-129	2.55120860122826e-126	ENSG00000134369	NAV1	protein_coding	neuron navigator 1 	0.101433673614308	16.3982729996609
ENSG00000239887	403.787867487691	9.76508663427857	0.857146835596229	581.538563037459	1.73545242436114e-128	1.04802043626698e-125	ENSG00000239887	C1orf226	protein_coding	chromosome 1 open reading frame 226 	0.0156889263437775	13.3069996782888
ENSG00000185904	579.254814667676	7.0839820214153	0.350881402627763	573.888068806027	8.00870354335067e-127	4.5818214482222e-124	ENSG00000185904	LINC00839	lncRNA	long intergenic non-protein coding RNA 839 	0.285000890885368	31.7645439273156
ENSG00000164142	607.11202635715	9.84563038229303	0.684636823269057	548.968119806404	2.11089374549647e-121	1.14727075067733e-118	ENSG00000164142	FHIP1A	protein_coding	FHF complex subunit HOOK interacting protein 1A 	0.0111682151760846	9.96011305296592
ENSG00000157827	994.650611977663	5.79261980850027	0.233544079597389	535.209784260802	2.07750637658466e-118	1.07535687207025e-115	ENSG00000157827	FMNL2	protein_coding	formin like 2 	0.347001450229488	22.2330347037255
ENSG00000152990	1016.52733081504	4.43481959078107	0.18189546442049	534.003290683746	3.8020459038719e-118	1.87855631704943e-115	ENSG00000152990	ADGRA3	protein_coding	adhesion G protein-coupled receptor A3 	2.03809230054267	39.581289596496
ENSG00000101144	364.576796540975	10.1094430255176	0.862927600574206	531.630553339878	1.24799868582521e-117	5.89815031083479e-115	ENSG00000101144	BMP7	protein_coding	bone morphogenetic protein 7 	0.0171056466660428	15.8207770089029
ENSG00000119698	329.444198135555	9.61767762823128	0.860426152057267	515.571398334511	3.89090548754841e-114	1.69176570598605e-111	ENSG00000119698	PPP4R4	protein_coding	protein phosphatase 4 regulatory subunit 4 	0.0162173421691458	13.6212548343506
ENSG00000163347	485.010722847825	9.97361375160644	0.86300665308061	515.593435716186	3.84818621235269e-114	1.69176570598605e-111	ENSG00000163347	CLDN1	protein_coding	claudin 1 	0.0170556251331105	17.5740178214001
ENSG00000168961	2021.79979360908	-4.30937926911542	0.17215627407149	514.763855318481	5.83103296397789e-114	2.43782031993999e-111	ENSG00000168961	LGALS9	protein_coding	galectin 9 	189.19565738106	9.09021168456214
ENSG00000086717	483.271884388404	7.88099485508691	0.469633391469862	505.65139489478	5.60214694552082e-112	2.2553828628819e-109	ENSG00000086717	PPEF1	protein_coding	protein phosphatase with EF-hand domain 1 	0.112170714468492	31.6986493138518
