gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000260136.6	35.46861968	0.4514646566	0.422538432	1.139108556	0.2858407729	4.39E-01	0.1972458007	7.288143559	5.454404087	4.484411545
ENSG00000260196.1	211.6206152	-0.0418460606	0.1687866574	0.06148434178	0.8041650747	8.82E-01	-0.03359328132	-5.705884177	4.776595307	5.030090235
ENSG00000260219.4	22.54508086	-1.2927488	0.5308573547	5.851055867	0.01556770801	4.38E-02	-0.7617334545	-14.0525782	0.6631643871	1.339610066
ENSG00000260231.2	42.02159679	-0.9184586013	0.3737907493	6.031068686	0.01405622052	4.03E-02	-0.642154169	-27.63995517	0.7124021586	1.501791588
ENSG00000260233.4	9.745952058	-0.4548508185	0.7834716871	0.3336870832	0.5634960234	7.05E-01	-0.07416358019	-4.156042886	0.3546030242	0.5614893238
ENSG00000260236.2	18.33934819	-0.04086320584	0.5407808897	0.005743823379	0.9395877505	9.63E-01	-0.0114376515	-0.6851768672	0.5338370618	0.5705504392
ENSG00000260238.6	53.01919455	-0.2773063362	0.323883108	0.7333888466	0.391786932	5.50E-01	-0.1534074701	-14.4651691	4.217449482	5.63526276
ENSG00000260257.2	28.32109546	-0.06108030819	0.4357311503	0.01966817702	0.8884677789	9.32E-01	-0.02318168308	-2.309725824	0.8370266465	0.9347252551
ENSG00000260260.3	44.22420493	0.1055563823	0.398871269	0.07087035965	0.7900737277	8.73E-01	0.04560328803	11.03520967	19.78375673	15.31118832
ENSG00000260265.1	43.03239038	1.246215701	0.3663495296	11.49551624	0.0006976427912	3.02E-03	1.034588158	39.91510759	8.857786348	3.426508894
ENSG00000260267.1	107.0494265	-0.2003683418	0.2280830766	0.772081326	0.3795739466	5.38E-01	-0.142509049	-16.21356869	2.190674653	2.592650272
ENSG00000260274.2	24.91605483	-0.4972682959	0.5098577376	0.9505128667	0.3295887859	4.86E-01	-0.1676026951	-15.80736342	0.6167409155	1.114746691
ENSG00000260279.4	24.90668373	-0.5063859406	0.587034476	0.7422852078	0.3889298265	5.47E-01	-0.1364732974	-7.096730281	1.176677837	1.651945266
ENSG00000260280.5	46.98155772	-0.08761758911	0.3575951148	0.06023442866	0.8061257994	8.83E-01	-0.04200621746	1.49237026	1.40256645	1.414527284
ENSG00000260285.1	48.24571518	-0.6659735579	0.3423213965	3.782435474	0.0517932215	1.19E-01	-0.4271025516	-25.52802213	0.6081806678	1.016367185
ENSG00000260306.1	9.849937802	1.338347868	0.8380765884	2.544878178	0.1106524453	2.16E-01	0.2277675664	8.326820243	0.5739691989	0.226162713
ENSG00000260328.1	69.46917055	0.6756006007	0.2969151729	5.16420271	0.02305703869	6.08E-02	0.4953009443	31.66187021	1.893635764	1.123614187
ENSG00000260342.2	8.824358847	-0.4229226428	0.8086045211	0.2730858596	0.6012692232	7.35E-01	-0.06556259537	-3.579012618	0.7565346039	1.350117964
