baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionko	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0263111	299.013803193186	2.03797138203553	0.237856570310155	69.7380236739019	6.77278343313322e-17	5.97630410139675e-15	2.210343712111	0.69280610133629	FBgn0263111	cacophony	protein_coding	32158
FBgn0016119	2992.65242252861	1.15902054430747	0.137766603478944	69.0885805906835	9.41388580925506e-17	8.22456716642244e-15	551.384599712818	351.819985162862	FBgn0016119	ATP synthase, coupling factor 6	protein_coding	42759
FBgn0038973	13342.0895619802	2.02181270747596	0.234713541750881	68.8572854792139	1.05852831194333e-16	9.15730767116468e-15	1954.03511474821	737.776773939159	FBgn0038973	Phosphatidylethanolamine-binding protein 1	protein_coding	42644
FBgn0033879	4206.7231733657	1.46855290145718	0.174448366842362	68.1014352202999	1.55297589856979e-16	1.33043294456115e-14	303.321416096374	151.209200124214	FBgn0033879	Enoyl-CoA hydratase, short chain 1	protein_coding	36536
FBti0018951	2012.95734881934	3.05956740220089	0.344120747789167	67.8980579626969	1.721706624378e-16	1.46080185129918e-14	31.6027758133173	4.21886839784503	FBti0018951		transposable_element	NA
FBgn0037714	157.766728417237	2.90891163728209	0.3385935002109	67.788999188865	1.81961883187346e-16	1.52917300690013e-14	28.7527501136354	4.37189436348558	FBgn0037714		protein_coding	41156
FBgn0035926	1502.38626478078	2.77440653887281	0.316864427067848	67.5228065403707	2.08264007617972e-16	1.71749682544017e-14	1168.47197458685	227.012415766369	FBgn0035926	Acyl-CoA binding protein 5	protein_coding	39005
FBgn0032002	217.829188068312	2.43844086213678	0.286723148036599	67.4113448144298	2.20377195493032e-16	1.80056330836159e-14	27.2056650613482	6.58434277985997	FBgn0032002		protein_coding	34123
FBgn0032538	17905.7932658552	2.22348558714558	0.259816072258918	66.9901061893572	2.72873167146418e-16	2.20902094211008e-14	933.405618015262	348.900266695871	FBgn0032538		protein_coding	34811
FBgn0034092	51.3238881583832	3.86416960352892	0.477694527198128	66.7909335745329	3.01883352214392e-16	2.42165336358163e-14	15.063980056641	0.977500481675284	FBgn0034092		protein_coding	36798
FBgn0036551	1160.42043292208	1.54525361188108	0.185874031632079	66.4049300028834	3.67182634723127e-16	2.91893654846565e-14	91.0227924330608	39.9673942736854	FBgn0036551		protein_coding	39740
FBgn0011556	1446.93052872415	1.65228367662769	0.198614953730312	66.010791202162	4.48460905734785e-16	3.53323127875334e-14	129.063401525649	52.4222609117936	FBgn0011556	zetaTrypsin	protein_coding	36216
FBgn0004425	2398.70930627907	1.90478022332639	0.227977431196116	65.4343308673955	6.00830555999981e-16	4.69179542136622e-14	542.602281667895	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0032088	834.152848959676	1.79279410008784	0.21669962274318	64.9624673019476	7.63383168448649e-16	5.90885357753586e-14	153.451232904355	65.7648474511663	FBgn0032088		protein_coding	34228
FBgn0037890	1010.26470655443	1.78298767226209	0.216673449665305	64.2045355025804	1.12150279128151e-15	8.60533967849393e-14	123.31533816857	42.7709011126144	FBgn0037890		protein_coding	41359
FBgn0037127	1287.45409766238	1.45796534347613	0.179168681650836	63.8732558797716	1.32686739336147e-15	1.00070751102749e-13	146.566131580816	86.4115344652055	FBgn0037127		protein_coding	40421
FBti0019621	1095.8454172041	1.9851078300064	0.240227259835516	63.8888897475547	1.31637938969007e-15	1.00070751102749e-13	15.4405040408069	5.70774515106997	FBti0019621		transposable_element	NA
FBgn0036108	1130.7329034368	3.15490909792875	0.366495401344995	63.3433539539984	1.73640249011004e-15	1.29847589599415e-13	233.86328376796	40.0411785750551	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBti0019522	530.972610603131	3.7029274734664	0.424473227996847	62.7669280034422	2.32673173379916e-15	1.72530090916334e-13	7.84748825212406	0.824781024639614	FBti0019522		transposable_element	NA
FBgn0031066	5501.09703895495	1.2334360049106	0.154297830927335	62.1036617857983	3.25844943466884e-15	2.39604648429315e-13	837.690956893993	499.394377005996	FBgn0031066	Cytochrome c oxidase subunit 6B	protein_coding	32989
FBgn0037166	428.064776605656	1.67260810816951	0.208354185913331	61.976837509147	3.47521076940945e-15	2.53431899415446e-13	15.1087221181327	6.65829331305652	FBgn0037166		protein_coding	40471
FBgn0033518	102.742026173095	3.15368511180051	0.386488009540051	61.7253210173852	3.94869694376397e-15	2.85600834686666e-13	11.6219591651976	1.74576621682634	FBgn0033518	Peroxiredoxin 2540-2	protein_coding	36098
FBgn0034629	1055.39065044895	2.48051588031876	0.300117220094684	61.6835864314722	4.03328405223011e-15	2.89347142088443e-13	34.0842870526647	7.8976914173655	FBgn0034629	acyl-Coenzyme A oxidase at 57D distal	protein_coding	37446
FBgn0010423	3089.23797602173	2.15048323733182	0.262989780689678	61.5908066740232	4.22788050715189e-15	3.00861432218615e-13	557.563984592213	148.905489614872	FBgn0010423	Troponin C at 47D	protein_coding	36195
FBgn0033294	1036.14551992903	3.1122881167012	0.367679971963432	61.4976100201256	4.43280900275203e-15	3.12920853122272e-13	41.7922504417426	7.87618952174627	FBgn0033294	Maltase A4	protein_coding	35827
FBgn0262035	734.408789371496	1.55429278003355	0.195648579742195	60.7430558640223	6.50321138744589e-15	4.5543124827637e-13	135.839598555933	62.9915106164991	FBgn0262035		protein_coding	10178831
FBgn0021906	2626.1524351365	1.66525191757411	0.208635848922932	60.5984756407533	6.99881856144989e-15	4.86280118001841e-13	241.977164352308	110.689456719694	FBgn0021906	Rieske iron-sulfur protein	protein_coding	44390
FBgn0034267	429.594896511589	1.32673880483608	0.169177691762603	60.230203081646	8.4387323408094e-15	5.77235458723272e-13	13.2914092702479	8.21072522922647	FBgn0034267		protein_coding	37017
FBgn0039094	668.816009734964	2.79853153007669	0.33909739360187	60.2329816375135	8.42682833955635e-15	5.77235458723272e-13	32.6373544797363	7.92338708292134	FBgn0039094		protein_coding	42783
FBgn0011227	339.434269602607	1.97892407378182	0.249039024355788	59.8263328049583	1.03607798562483e-14	6.97889476729273e-13	250.018946458555	85.59074855561	FBgn0011227	oxen	protein_coding	45401
FBgn0035044	262.600494062681	1.37122477146841	0.175923082183449	59.8366622569966	1.03065450240038e-14	6.97889476729273e-13	27.6811028116956	14.7737996293736	FBgn0035044		protein_coding	37944
FBgn0033904	55.2229039746993	3.73916605814923	0.478307284339812	59.7885638641524	1.05615279892107e-14	7.06022143763602e-13	5.12884125034988	0.531257308581741	FBgn0033904		protein_coding	36567
FBgn0030040	2213.66198143786	1.23919366196398	0.158205667486138	59.6966253821711	1.10666139712607e-14	7.34224072800035e-13	168.050091149059	111.119133046366	FBgn0030040		protein_coding	31779
FBgn0053127	571.24970120374	1.79126982272332	0.226356125551168	59.5776335828224	1.17563721532413e-14	7.74165879702993e-13	52.9116556716026	19.568375526491	FBgn0053127		protein_coding	318893
FBgn0035931	219.074473694323	3.02242185839496	0.370095772718334	59.3907382839891	1.29276077954492e-14	8.44986749533658e-13	18.6843822584055	2.75666904624093	FBgn0035931		protein_coding	39010
FBgn0034429	335.917889988996	2.18439840371243	0.274376749987231	59.2666418755719	1.37690951839401e-14	8.93371293405054e-13	46.3244258836435	13.4002877654274	FBgn0034429	Arylalkylamine N-acetyltransferase-like 4	protein_coding	37213
FBgn0031561	1409.13338059144	3.43363746800902	0.408736493520639	58.7484889897898	1.79171089329546e-14	1.15401875346271e-12	1029.21346577213	91.2802824496595	FBgn0031561	Immune induced molecule 33	protein_coding	33592
FBgn0052475	180.267061358939	-1.95783942622254	0.253227808372026	58.3865129101868	2.15362348194403e-14	1.37707055106334e-12	1.10468394655818	6.22966124986724	FBgn0052475	methuselah-like 8	protein_coding	38013
