baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionh2F14	ensembl	description	gene_biotype	entrezgene_id
FBgn0052198	3207.44452139326	2.26151152828502	0.419686714222924	26.5033851981975	2.63076701114193e-07	2.2224719710127e-05	202.281411199478	1161.77572273443	FBgn0052198		protein_coding	317909
FBgn0035887	25621.6918133853	2.1227905990462	0.396167027641999	26.4473821879428	2.70815242417779e-07	2.26519521578752e-05	961.288792702317	3563.21481712032	FBgn0035887	Jonah 66Cii	protein_coding	38953
FBgn0038530	103.767668100389	-2.5647064876745	0.479037143581976	26.4122801344124	2.75781583007834e-07	2.28412040514724e-05	14.9897708981031	2.21935537392621	FBgn0038530	Attacin-D	protein_coding	42122
FBgn0029848	258.219205792953	1.60723270746788	0.307492560870284	26.3436644653424	2.85754719506135e-07	2.34374356348333e-05	4.00722618124499	10.8693088148046	FBgn0029848	Biotinidase	protein_coding	31552
FBgn0053465	160.047630828196	3.27307411131774	0.596167380087264	26.0691065796586	3.29412795065184e-07	2.67584547376026e-05	1.09512678854023	6.06062262638367	FBgn0053465		protein_coding	3885587
FBgn0037386	634.350773765088	3.57092716797188	0.6391049424592	25.7324301853919	3.92181122390175e-07	3.1553772590021e-05	2.8734261868447	21.475425493584	FBgn0037386		protein_coding	40727
FBgn0003886	1379.11965099556	2.9433132441092	0.542093623194444	25.5335185844651	4.34763976803675e-07	3.43260380938079e-05	12.7973658562577	78.2109004840048	FBgn0003886	alpha-Tubulin at 85E	protein_coding	41183
FBgn0043783	1032.61807468788	2.18706483170375	0.415021685705621	25.5489682711729	4.31296613462045e-07	3.43260380938079e-05	18.1882225552619	67.0795323878666	FBgn0043783		protein_coding	40406
FBgn0038132	95.387860625181	3.42634049572119	0.635464677911559	25.4958497703537	4.43335551108941e-07	3.46786919978549e-05	1.77649548474556	9.8846942318177	FBgn0038132	apnoia	protein_coding	41631
FBgn0040764	482.910473029673	5.44619840507341	0.90530586928881	25.436650492714	4.57150051789896e-07	3.54312260323032e-05	3.14138471557815	490.320841059207	FBgn0040764		protein_coding	50237
FBgn0032935	960.859340466412	-1.55554085110301	0.304384976109167	25.0168551124519	5.68313277826445e-07	4.3646459737071e-05	39.8112918603723	11.8110813667864	FBgn0032935	Autophagy-related 18b	protein_coding	35396
FBgn0033141	73.5410897622298	2.93623241736568	0.558532320959839	24.9681337812197	5.82857310642797e-07	4.43601672100031e-05	0.808649706159153	4.61521909239526	FBgn0033141		protein_coding	35631
