baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh1M8	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0250836	1752.47863480121	-1.57011656666646	0.229706009229265	44.6984477988835	2.29839453217773e-11	1.35743973620255e-09	247.227253518803	728.530213856818	FBgn0250836	Acyl-CoA binding protein 3	protein_coding	38783
FBgn0028430	185.337492188814	1.76930405433023	0.261471847060583	44.2991755973216	2.8183488467138e-11	1.65029982468686e-09	42.1937737920685	12.7607861199754	FBgn0028430	Hemese	protein_coding	117464
FBgn0034356	3119.48953202925	1.3644510857274	0.202770899109295	43.7385286176519	3.75309929634785e-11	2.17902400671857e-09	116.246571737115	36.1193287925507	FBgn0034356	Phosphoenolpyruvate carboxykinase 2	protein_coding	37130
FBgn0032087	3314.04573512372	-1.3222441726277	0.197431588897548	43.4165157117529	4.4243807145863e-11	2.52595268963589e-09	227.101688182984	519.689829867722	FBgn0032087		protein_coding	34227
FBgn0034624	115.078367008849	-1.75648604377937	0.264382701296196	43.4328078700315	4.38769675342557e-11	2.52595268963589e-09	3.02147925205472	10.3945760093587	FBgn0034624		protein_coding	37441
FBgn0028515	830.174282091068	-1.43702138981676	0.214406408926855	43.3919034406856	4.48038152931055e-11	2.53678461630633e-09	21.4360397551949	46.5524428963803	FBgn0028515	Endonuclease G inhibitor	protein_coding	34953
FBgn0025454	1612.89417562983	2.2937338619469	0.334004544274249	43.0280229637587	5.39613820805085e-11	3.0302412183079e-09	67.8490745726274	12.1393402462269	FBgn0025454	Cytochrome P450 6g1	protein_coding	36316
FBti0019522	454.254407589271	-3.65296118878668	0.506724411665925	42.9291671319813	5.67581038079014e-11	3.16138023730026e-09	0.375739428935643	7.84748825212406	FBti0019522		transposable_element	NA
FBgn0033733	150.642268355911	-2.70986655750624	0.397908058321211	42.5101873612311	7.03150353346978e-11	3.88490570224206e-09	1.21081616821085	7.54574381626619	FBgn0033733		protein_coding	36356
FBgn0035623	192.327026721947	1.27194834576051	0.194469462789018	42.3719188438424	7.54658202664412e-11	4.13613067716311e-09	8.1940851044126	2.54100568294189	FBgn0035623	methuselah-like 2	protein_coding	38636
FBgn0032140	454.97233355798	1.60251038300674	0.243009127734397	41.7815357250843	1.02062717143017e-10	5.50826061684904e-09	82.1918229235607	21.9500462433781	FBgn0032140		protein_coding	34289
FBgn0033593	528.186039530689	-3.42631058715712	0.485656243037577	41.7806483374533	1.0210904953143e-10	5.50826061684904e-09	18.5286360039961	147.078768125271	FBgn0033593	Listericin	protein_coding	36183
FBgn0034759	120.026222690345	-2.26012609116662	0.344010489948721	40.8897318316216	1.6106517726946e-10	8.62076194900836e-09	3.23321850693211	13.840714758254	FBgn0034759		protein_coding	37597
FBti0019115	281.841647045317	-1.2239465941175	0.190110882422857	40.8691309586864	1.62772004426386e-10	8.6445814133734e-09	1.25897743461229	2.26116653093991	FBti0019115		transposable_element	NA
FBgn0034335	810.435068307254	-1.4968454398327	0.229997168956014	40.7825989619359	1.70141381043285e-10	8.96645078098111e-09	36.4080850310423	95.5503291190211	FBgn0034335	Glutathione S transferase E1	protein_coding	37106
FBgn0033297	2179.54716120494	-2.17555093645032	0.327446061754304	40.5882482941153	1.87933544781226e-10	9.8284940098945e-09	22.3988081547586	94.9913910354322	FBgn0033297	Maltase A8	protein_coding	35830
