baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0020637	485.579149489829	-5.57117648799677	0.833672666784464	31.2398571591493	2.28035797619071e-08	1.62813336614875e-06	1.99584437081017	89.030433678872	FBgn0020637	Lcp65Ag2	protein_coding	38702
FBgn0033978	1619.77145987202	-2.80587528492836	0.470595130073558	31.1462014572722	2.39307191006691e-08	1.6929337154611e-06	9.86777268182995	90.5458388277702	FBgn0033978	Cytochrome P450 6a23	protein_coding	36661
FBgn0260764	34.5987658003214	-3.4526288828414	0.611354786502723	30.6047506237358	3.16318280523558e-08	2.21739114647014e-06	0.966567340062857	10.3570554265371	FBgn0260764		protein_coding	37008
FBgn0011455	1150.48440234574	-1.0616876855456	0.190585464712263	30.4234001669218	3.47313187090133e-08	2.41273151860542e-06	80.4435190544037	140.13771347023	FBgn0011455	NADH dehydrogenase (ubiquinone) SGDH subunit	protein_coding	46260
FBgn0283432	180.12462224155	3.44460680448966	0.577728483436131	30.3788831910148	3.55375809483711e-08	2.44669898832937e-06	6.94925013420661	0.931881246862167	FBgn0283432	Sperm-specific dynein intermediate chain A	protein_coding	26067074
FBgn0053465	81.1393319916082	-2.15985029751293	0.38502853755139	30.2182057726587	3.8606840159003e-08	2.63448977403604e-06	1.09512678854023	3.97621441594892	FBgn0053465		protein_coding	3885587
FBgn0038257	550.791339633565	-2.78975536191444	0.477448552734376	30.0995329160752	4.10430057806117e-08	2.77616331205524e-06	5.93048873913966	51.0768977889279	FBgn0038257	Senescence marker protein-30	protein_coding	41786
FBti0019115	289.68727034922	-1.30488090899196	0.235523175938779	29.9825419863039	4.35953699615854e-08	2.9231643284677e-06	1.16641544297987	2.26116653093991	FBti0019115		transposable_element	NA
FBgn0032304	1003.07325697754	-1.40831218034882	0.253122369885505	29.9042602804931	4.53914368567724e-08	3.01735663450493e-06	29.5651519012121	58.9443003805565	FBgn0032304		protein_coding	34494
FBgn0030836	16724.1452479264	-2.63100572635448	0.454782273064684	29.6607735590772	5.14657944488052e-08	3.39190376918578e-06	508.23627656375	2474.37642439277	FBgn0030836		protein_coding	32719
FBgn0085483	59.9880525724078	-3.32958710750459	0.58906308941019	28.7494561274847	8.23730500279229e-08	5.38286939631622e-06	1.48065952552892	11.9652166915235	FBgn0085483		protein_coding	5740130
FBgn0046874	6153.47168360918	1.13079134530716	0.208489430400919	28.7071222234719	8.41935198097559e-08	5.45559858195821e-06	77.2765690174206	30.8587169122816	FBgn0046874	PFTAIRE-interacting factor 1B	protein_coding	3771985
FBgn0263111	289.500777463373	-1.62309598582349	0.297629351600858	28.65121401288	8.66596462060239e-08	5.56860443245542e-06	0.68174231495859	2.210343712111	FBgn0263111	cacophony	protein_coding	32158
FBgn0010295	2208.94521698049	-1.49696013790742	0.274243000649887	28.5762808054815	9.00788736075913e-08	5.7404809453565e-06	161.72259205754	404.306454880967	FBgn0010295	new glue 3	protein_coding	31299
FBgn0033096	26.8754586080088	-4.13360122131798	0.774338478898726	28.109703081544	1.14629705511471e-07	7.20494558881699e-06	0.113292702013513	2.4710738576395	FBgn0033096	Zinc/iron regulated transporter-related protein 42C.1	protein_coding	35579
FBgn0050488	17.2159862488153	4.59732787814254	0.952088260516163	28.1046766581618	1.14927805398066e-07	7.20494558881699e-06	2.42733201553912	0.133211252642377	FBgn0050488	antares	protein_coding	246647
FBti0020099	746.719547242488	-4.12070027186537	0.689154618155612	27.9487292942613	1.24572737136537e-07	7.74661593596642e-06	0.849157864043322	14.2545949659557	FBti0020099		transposable_element	NA
FBgn0035426	99.4194909675303	3.70184661664323	0.650758769321752	27.8803347362036	1.29054775687073e-07	7.96113100258417e-06	7.54432529378744	0.683277232595174	FBgn0035426		protein_coding	38401
FBgn0033222	561.180455397947	1.73074546568482	0.321697971094822	27.4818753713622	1.58573630135417e-07	9.7044544601127e-06	127.624054002014	32.3872223874125	FBgn0033222		protein_coding	35727
FBgn0035343	590.482181440053	-1.71492741687037	0.321526656958026	27.0616552847364	1.97068422004355e-07	1.19653118273668e-05	20.7394014070608	47.0438987853044	FBgn0035343		protein_coding	38310
FBgn0031522	458.538233912473	-2.24055902840348	0.415526312888526	26.7574497070861	2.30660767221286e-07	1.38955091878386e-05	5.29125000021891	20.9600333513649	FBgn0031522		protein_coding	33547
FBgn0033593	571.952505985893	-2.75442845693265	0.501816692946488	26.5975067463297	2.50566900324636e-07	1.49776850263819e-05	38.8708061941706	147.078768125271	FBgn0033593	Listericin	protein_coding	36183
FBgn0016123	1179.12987638631	-1.64406303749082	0.311366106578428	26.5502267975398	2.56774572192023e-07	1.51144177570434e-05	14.6042003310489	29.6681111283134	FBgn0016123	Alkaline phosphatase 4	protein_coding	43671
FBgn0037503	109.410325521127	-1.68222828120334	0.321738983283955	26.5571066860231	2.55861775672538e-07	1.51144177570434e-05	2.6749041612099	6.9028606303536	FBgn0037503		protein_coding	40893
FBgn0020640	113.087178535285	-3.69406150091239	0.664623695354081	26.1532303879653	3.15369072207241e-07	1.84228099681063e-05	2.64627176179014	52.2991901497681	FBgn0020640	Lcp65Ae	protein_coding	45018
FBgn0003082	178.331941121808	1.57104882728695	0.303203128473012	25.9843097128364	3.44203455200061e-07	1.99560364138923e-05	9.49348572505138	2.57170044939876	FBgn0003082	photorepair	protein_coding	35735
FBgn0039325	208.790763801553	-1.91011490313609	0.364721962899946	25.9355651498777	3.53005169396983e-07	2.03136034419413e-05	3.8675539336067	14.0522322755337	FBgn0039325		protein_coding	43065
