baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0003086	748.98836022923	3.45836683647835	0.423380343023384	55.7212222954308	8.35118598061925e-14	7.44574160587843e-12	97.5525224555662	18.3856765851501	FBgn0003086	Pre-intermoult gene 1	protein_coding	31303
FBgn0038662	1405.20992622652	2.1245917030123	0.273781625367114	55.6915446888027	8.47821504817853e-14	7.48025848521585e-12	109.919174743618	33.8023658947109	FBgn0038662	Mitochondrial pyruvate carrier	protein_coding	42268
FBgn0022359	3211.80255477714	2.05177625144413	0.264830593804037	55.6613817145845	8.60930285772941e-14	7.51760775308949e-12	175.113994365996	69.4009867962244	FBgn0022359	Sorbitol dehydrogenase-2	protein_coding	41313
FBgn0051463	549.59123605153	1.9367960487703	0.255058603806014	54.3517841011032	1.67625739835362e-13	1.44876532286277e-11	32.1621784756015	12.8607744753629	FBgn0051463		protein_coding	40978
FBgn0030270	135.46084862544	2.74138005681446	0.357594398644542	54.3050101733579	1.71663580600586e-13	1.46867730069391e-11	33.7810843684028	6.83724312929946	FBgn0030270		protein_coding	32051
FBgn0010042	189.933177055438	6.26507449978743	0.739231504240647	54.2114719841458	1.80032702612813e-13	1.52487699113052e-11	24.7510313797964	0.32649280948892	FBgn0010042	Glutathione S transferase D6	protein_coding	48339
FBgn0037761	91.609233356615	4.16769170889194	0.532443228059684	53.8937473809757	2.11630111205973e-13	1.77475944744019e-11	7.79535118694348	0.467426831356319	FBgn0037761		protein_coding	41210
FBgn0051267	743.871654475375	2.75921600986859	0.354358698299838	53.6643683346778	2.37837893570911e-13	1.97498721426041e-11	71.2090853150586	15.4025101036073	FBgn0051267		protein_coding	318651
FBgn0038701	2823.37435451602	2.53495979350785	0.328722595805495	53.2167695381565	2.98697921208839e-13	2.45628290547463e-11	142.438777833546	27.4911476172742	FBgn0038701		protein_coding	42319
FBgn0020545	1885.91823093581	1.70694611813322	0.228226183499376	53.0995767653141	3.1706075789635e-13	2.58221598017508e-11	116.660020667654	47.8928074179799	FBgn0020545	kraken	protein_coding	33265
FBgn0024957	12725.7742001895	2.4664073773496	0.321078541584617	52.9952196097404	3.34361123255304e-13	2.69717972759278e-11	313.085923019124	88.5978877973136	FBgn0024957	Iron regulatory protein 1B	protein_coding	41269
FBgn0037354	1653.15906345678	1.82267066873349	0.243655426069474	52.7546892494444	3.77919969835369e-13	3.01979447594866e-11	130.614240352843	54.0312233229751	FBgn0037354		protein_coding	40690
FBgn0014903	1046.10504659098	2.50339663129256	0.32937713989074	52.0042691430175	5.53800978549442e-13	4.38382643767642e-11	66.1085879231337	16.2832302699318	FBgn0014903		protein_coding	44620
FBgn0284248	1365.49366034166	1.80907829223183	0.244281979640817	51.782208185346	6.20111918827086e-13	4.86328514117168e-11	189.050488931099	72.399754393856	FBgn0284248	Cytochrome c proximal	protein_coding	34996
FBgn0028945	49.3869711846022	-3.82230516975968	0.540409605802529	51.715027911186	6.41697018389505e-13	4.98639793188909e-11	0.387319621435601	8.98914937896721	FBgn0028945		protein_coding	34919
FBgn0033879	4611.4933904906	1.64490263083907	0.223424327977015	51.551474957207	6.97442729468319e-13	5.37030901690605e-11	329.151094439302	151.209200124214	FBgn0033879	Enoyl-CoA hydratase, short chain 1	protein_coding	36536
FBgn0262577	651.252028089867	2.57877904347354	0.340918493706839	51.3973302874737	7.54410627272952e-13	5.75662884054226e-11	574.669394519999	131.460099749445	FBgn0262577		protein_coding	12798272
FBgn0039592	24.569373552014	-7.84436126375134	1.31445016493129	51.3769216909344	7.62294241639411e-13	5.76485020239805e-11	0	2.67175225349667	FBgn0039592		protein_coding	43389
FBgn0085359	5130.34916826291	2.01299118210504	0.271100752568801	51.2227571773739	8.24571532537922e-13	6.18063794743027e-11	868.78316115768	320.135371828846	FBgn0085359		protein_coding	2768869
FBgn0034247	306.342036399666	3.23994085959731	0.42061911367077	51.1969324328544	8.35490862735539e-13	6.20755053278071e-11	18.5112727365832	2.47819945269118	FBgn0034247		protein_coding	36994
FBgn0085312	27.0558852953776	8.42379622023352	1.34999307279161	51.1411966042937	8.59553001406793e-13	6.33079471470917e-11	4.89362665126828	0	FBgn0085312		protein_coding	5740817
FBgn0261675	1908.20864430302	2.95006643086307	0.385766658613123	50.6399692306145	1.10962112770201e-12	8.1021473721e-11	40.0084760314358	5.8489025797466	FBgn0261675	Niemann-Pick type C-1b	protein_coding	33072
FBgn0025814	1278.23289788183	2.02681748451707	0.274894737264718	50.606749333234	1.12856266709955e-12	8.1700220430198e-11	171.241829972154	64.8134006155838	FBgn0025814	Microsomal glutathione S-transferase-like	protein_coding	44110
FBgn0050083	54.0745513282144	-7.15690823070489	1.21431850472362	50.2981202252951	1.3207599663878e-12	9.48037026720737e-11	0.0644980294214379	6.43830218561455	FBgn0050083		protein_coding	246444
FBgn0038484	2472.45138372296	2.56440583774725	0.343669150982138	49.7177247322378	1.77534783147435e-12	1.26362992710821e-10	216.666183455661	48.3040266150195	FBgn0038484		protein_coding	42072
FBgn0028950	1485.51054370648	3.23247786238855	0.422827666575891	49.4552793907722	2.02945655887709e-12	1.43245808780741e-10	127.132467996025	20.3882454828681	FBgn0028950		protein_coding	34913
FBgn0029994	2558.56827648397	1.9432283747049	0.267277338158462	49.3841122672931	2.10443090965718e-12	1.47310163676002e-10	128.641102293889	46.6611811849933	FBgn0029994	Lipid droplet subset dehydrogenase 1	protein_coding	31726
FBgn0287423	5603.63936472866	4.93553165135362	0.597448508535752	49.0988937086368	2.43377436334985e-12	1.68967777521092e-10	1591.55194798377	49.383109255563	FBgn0287423	Neuropeptide-like precursor 2	protein_coding	50286
FBgn0051343	20394.2594178129	3.24997908450404	0.426569596402076	48.8058283188332	2.82598780746274e-12	1.94602575034223e-10	538.259578529854	83.8057339338281	FBgn0051343		protein_coding	326133
FBgn0035791	35.7962516390123	5.64214616775785	0.858630156868556	48.6326185834683	3.0869206167135e-12	2.10856593738414e-10	2.0400526544332	0.0772046363062504	FBgn0035791		protein_coding	38842
FBgn0003082	415.950291907632	-3.04663731664271	0.409234807221709	48.5111422731047	3.28417604582282e-12	2.22535768864954e-10	2.36498257548362	27.2691437616657	FBgn0003082	photorepair	protein_coding	35735
FBgn0039045	1673.77196456607	1.98334758758162	0.275135762181063	48.4618157005833	3.36783010537113e-12	2.26393023749948e-10	77.2392682388312	29.4115102720282	FBgn0039045	Cystinosin	protein_coding	42723
FBgn0020644	49348.3513490191	2.28761828966432	0.313843786523263	48.3542168525969	3.5577832445455e-12	2.36920632699874e-10	17343.158533601	5917.94001053394	FBgn0020644	Lcp65Ab1	protein_coding	48382
FBgn0031418	1704.58078276246	1.9161493130105	0.266735318237504	48.3417999860585	3.58038264292607e-12	2.36920632699874e-10	115.530356187907	42.7517892313309	FBgn0031418		protein_coding	33421
FBgn0035083	2646.32249930794	1.60301353813289	0.225404141693821	48.2520491691188	3.74806324144143e-12	2.46093764767511e-10	227.698109219242	101.959201590097	FBgn0035083	Troponin C-akin-1	protein_coding	37989
FBgn0001248	13467.0213784606	1.53931393681349	0.217570733567531	47.8625024058073	4.57182373605842e-12	2.97871900341653e-10	566.818952257107	277.121978661051	FBgn0001248	Isocitrate dehydrogenase	protein_coding	44291
