baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0031533	566.606222641892	1.93595091206821	0.225069409429377	75.3979697040217	3.84785468473105e-18	3.1457961072533e-16	36.8743823978848	11.9564998755274	FBgn0031533		protein_coding	33559
FBgn0031649	205.2046112966	-3.30717112428756	0.360348413071854	75.3588284388876	3.92489484944311e-18	3.17987201631008e-16	0.487341259260109	5.89465324971732	FBgn0031649	hoepel2	protein_coding	33700
FBgn0022359	2709.9877161763	1.93145215298286	0.224452190465645	75.3077836043816	4.02768722540814e-18	3.23401707304423e-16	174.021836794036	69.4009867962244	FBgn0022359	Sorbitol dehydrogenase-2	protein_coding	41313
FBgn0028949	100.652169973143	3.71841335502897	0.42880954654026	75.0870143940111	4.50419050000146e-18	3.58461815632859e-16	15.0106593262632	1.71279681463017	FBgn0028949		protein_coding	34915
FBgn0267398	800.615186524104	-1.66603011768614	0.185029813571567	74.2671546551678	6.82293296396642e-18	5.38233650394298e-16	21.0247087627872	93.3429656339641	FBgn0267398	Yeti	protein_coding	7354404
FBgn0030693	1302.1900242278	-1.37717459272793	0.15402109199096	74.1191478560923	7.35415190526643e-18	5.75094678991835e-16	24.0203136568815	85.7095483964084	FBgn0030693	suppression of retinal degeneration disease 1 upon overexpression 1	protein_coding	32532
FBgn0032069	18205.0435931422	2.3768015998048	0.276352309135545	74.027414319624	7.70396648930472e-18	5.92582979550358e-16	475.028424795014	135.663418280608	FBgn0032069	Lysosomal alpha-mannosidase VI	protein_coding	34206
FBgn0035667	34569.3784578406	1.96110130485438	0.229708194906175	74.0259777393295	7.70957507032046e-18	5.92582979550358e-16	4042.84804111678	1362.78525985312	FBgn0035667	Jonah 65Ai	protein_coding	38685
FBgn0033246	10153.1036397537	3.17961433490799	0.363243560641048	73.5524362795453	9.79978997849573e-18	7.46860265056035e-16	110.547805226734	17.3848571761946	FBgn0033246	Acetyl-CoA carboxylase	protein_coding	35761
FBgn0031220	860.751998015228	-1.7750504379045	0.196950179926571	73.4128021222539	1.05181663751471e-17	7.9487285892183e-16	6.04978840537113	27.1996627869121	FBgn0031220		protein_coding	33170
FBgn0037730	920.361918410785	-2.47629431599329	0.266566725667883	72.9331761611733	1.3411468799787e-17	1.00507782430404e-15	5.5399894115965	41.3738095862834	FBgn0037730		protein_coding	41175
FBgn0040364	1279.0863575451	1.4434905569596	0.171400743591941	72.7180065429047	1.49563250316691e-17	1.11158868603141e-15	84.1819307050227	40.2857345121099	FBgn0040364		protein_coding	31060
FBgn0035083	2379.9978535187	1.55130422067919	0.184690760845614	72.2783447059136	1.86886995853659e-17	1.37760225714095e-15	228.428340100057	101.959201590097	FBgn0035083	Troponin C-akin-1	protein_coding	37989
FBgn0038662	1173.02967335637	1.99137662408222	0.236219365981168	72.1921886974611	1.95227007571391e-17	1.42737925129229e-15	101.63200123242	33.8023658947109	FBgn0038662	Mitochondrial pyruvate carrier	protein_coding	42268
FBgn0038481	1197.95626877957	2.94074858154039	0.342121756808291	72.1614517764182	1.98291641282119e-17	1.42836482064607e-15	125.40245402996	21.1069890337559	FBgn0038481		protein_coding	42069
FBgn0284248	1205.55891756985	1.74319089322038	0.207440609777313	72.158997389043	1.98538421639896e-17	1.42836482064607e-15	188.447628158995	72.399754393856	FBgn0284248	Cytochrome c proximal	protein_coding	34996
FBgn0034479	330.207642870411	2.39062156321419	0.283328933785925	71.7882484269581	2.39574795286302e-17	1.70991756667437e-15	12.0952061547695	3.47255203847391	FBgn0034479		protein_coding	37275
FBgn0040260	493.458712097726	2.80825482208905	0.329568975653315	71.7106714945793	2.49181270790079e-17	1.7644780852088e-15	26.2807768637222	5.45496265352342	FBgn0040260	UDP-glycosyltransferase family 37 member D1	protein_coding	53511
FBgn0033879	4218.51648609271	1.63997001244482	0.196496529362183	71.2718990746971	3.11237150665086e-17	2.18668413744618e-15	345.115596685037	151.209200124214	FBgn0033879	Enoyl-CoA hydratase, short chain 1	protein_coding	36536
FBgn0034390	1985.6415929167	1.97170109617891	0.235456180643682	71.233821272031	3.17302077196295e-17	2.21201362808239e-15	141.301060307659	48.5992242240494	FBgn0034390		protein_coding	37166
FBgn0001248	12310.1497133303	1.51993753980301	0.182668981492531	70.9733579595749	3.62081473139369e-17	2.50476822149411e-15	572.39519077871	277.121978661051	FBgn0001248	Isocitrate dehydrogenase	protein_coding	44291
FBgn0030774	1795.89018541969	1.3726710534557	0.165439086675298	70.640278592282	4.28674885892136e-17	2.94280400673891e-15	110.691612775738	59.579900864708	FBgn0030774	spheroide	protein_coding	32648
FBgn0003961	911.386260005929	4.25626649513777	0.48029151992574	70.574606023711	4.43185226802467e-17	3.01936723078378e-15	80.1686263794701	5.09396012118069	FBgn0003961	Urate oxidase	protein_coding	34060
FBgn0052669	701.55890430739	1.60426285029481	0.193395020826132	70.4403224875282	4.74402710443168e-17	3.20774704888377e-15	21.7149173044898	10.04168045397	FBgn0052669		protein_coding	326229
